Title,Author,Genres
"Dracula","Bram Stoker","Fiction,Horror,Fantasy"
"The Picture of Dorian Gray","Oscar Wilde","Fiction,Horror,Gothic,Fantasy"
"The Color Purple","Alice Walker","Fiction,Historical Fiction"
"War and Peace","Leo Tolstoy","Fiction,Historical Fiction,War,Russian Literature"
"A Tale of Two Cities","Charles Dickens","Fiction,Historical Fiction"
"The Crucible","Arthur Miller","Fiction,Historical Fiction,Drama,Plays"
"The Three Musketeers","Alexandre Dumas","Fiction,Historical Fiction,Adventure,French Literature"
"The Hound of the Baskervilles","Arthur Conan Doyle","Fiction,Mystery,Crime,Thriller"
"The Strange Case of Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson","Fiction,Mystery,Science Fiction,Horror"
"Crime and Punishment","Fyodor Dostoyevsky","Fiction,Russian Literature,Mystery"
"Murder on the Orient Express","Agatha Christie","Fiction,Mystery"
"Fahrenheit 451","Ray Bradbury","Fiction,Science Fiction,Dystopia"
"Animal Farm","George Orwell","Fiction,Science Fiction,Dystopia"
"The Time Machine","H.G. Wells","Fiction,Science Fiction,Time Travel"
"Things Fall Apart","Chinua Achebe","Fiction,Historical Fiction,African Literature"
